▁THAN	-7.395137	327
IA	-7.405360	328
▁AGAIN	-7.406386	329
▁STA	-7.406443	330
▁PART	-7.409109	331
▁GA	-7.413846	332
▁MEAN	-7.414064	333
▁LET	-7.416083	334
▁DOWN	-7.418960	335
▁NEED	-7.421772	336
▁GU	-7.426834	337
LES	-7.431072	338
▁RU	-7.441924	339
ATED	-7.451959	340
▁SHA	-7.455660	341
VO	-7.456886	342
▁TALK	-7.467517	343
▁DAY	-7.468530	344
▁CHI	-7.471416	345
▁SOMETHING	-7.487385	346
▁AFTER	-7.487554	347
▁THOUGH	-7.491821	348
▁CALL	-7.508307	349
▁GRA	-7.508645	350
▁EVERY	-7.510879	351
▁KIND	-7.519194	352
ROW	-7.522918	353
AIN	-7.523670	354
▁BU	-7.524343	355
▁THROUGH	-7.529746	356
▁SHOULD	-7.535906	357
▁ONLY	-7.548956	358
▁TA	-7.550046	359
▁MIN	-7.550228	360
▁GOT	-7.551891	361
IAN	-7.559639	362
▁GREAT	-7.565786	363
▁RI	-7.574379	364
▁DOES	-7.574910	365
▁THING	-7.589205	366
DAY	-7.591612	367
OUS	-7.599925	368
▁START	-7.603534	369
▁MOST	-7.612201	370
▁COL	-7.615087	371
PH	-7.616779	372
▁LOT	-7.617667	373
IZE	-7.637782	374
BER	-7.643322	375
IOUS	-7.644121	376
▁LIFE	-7.651883	377
▁MANY	-7.652770	378
▁FEEL	-7.665822	379
ITION	-7.672951	380
▁VA	-7.676649	381
NESS	-7.677010	382
▁BEFORE	-7.691057	383
▁THREE	-7.700549	384
▁WORLD	-7.700652	385
▁GIVE	-7.702234	386
▁WHY	-7.709311	387
▁PI	-7.715486	388
▁LONG	-7.727906	389
PORT	-7.733355	390
▁SHOW	-7.734122	391
▁ACTUALLY	-7.736657	392
▁NEVER	-7.747577	393
IV	-7.750342	394
FORM	-7.754707	395
▁THANK	-7.757897	396
▁HI	-7.775505	397
▁PUT	-7.785038	398
▁LOVE	-7.786835	399
▁QUESTION	-7.792999	400
▁HELP	-7.794951	401
▁HAPPEN	-7.802207	402
▁MR	-7.812077	403
▁OWN	-7.813913	404
WARD	-7.824292	405
▁MADE	-7.825401	406
▁HAND	-7.825727	407
▁STATE	-7.831963	408
IBLE	-7.839608	409
▁TELL	-7.842852	410
▁PH	-7.846215	411
▁CAME	-7.859052	412
▁TEA	-7.859306	413
▁STILL	-7.861156	414
▁DIFFERENT	-7.867011	415
▁PLACE	-7.868723	416
▁MIGHT	-7.869894	417
▁FIND	-7.877593	418
▁DU	-7.881228	419
▁IMP	-7.891805	420
▁OLD	-7.909398	421
▁PERSON	-7.912628	422
▁COUNT	-7.921000	423
▁JA	-7.923938	424
▁POINT	-7.942866	425
▁HIGH	-7.965661	426
SHIP	-7.970790	427
▁LAST	-7.982817	428
▁SAME	-7.984854	429
▁FOUR	-8.005152	430
▁AROUND	-8.011813	431
▁OH	-8.029158	432
▁CHANGE	-8.038320	433
▁UNDER	-8.040030	434
▁HOME	-8.044729	435
▁ANOTHER	-8.046560	436
▁FOUND	-8.051962	437
ATIVE	-8.057681	438
▁TURN	-8.064822	439
▁YES	-8.067883	440
LAND	-8.069949	441
▁ALWAYS	-8.077404	442
▁YEAH	-8.079281	443
▁SCHOOL	-8.087453	444
▁JE	-8.100902	445
▁NEXT	-8.113102	446
▁WORD	-8.122441	447
▁JU	-8.127291	448
LINE	-8.156420	449
▁SIX	-8.164662	450
▁LEARN	-8.175008	451
▁BOOK	-8.184145	452
▁PLAY	-8.196425	453
▁AWAY	-8.203636	454
▁HOUSE	-8.205842	455
▁PLAN	-8.211508	456
▁WHILE	-8.212154	457
▁COMMUNI	-8.216485	458
▁FRIEND	-8.218834	459
▁AMERICA	-8.219691	460
▁INTEREST	-8.228706	461
▁KEEP	-8.236598	462
▁BETTER	-8.236838	463
▁IDEA	-8.239540	464
▁HARD	-8.240744	465
▁TWENTY	-8.244674	466
▁THOUSAND	-8.245410	467
▁HUNDRED	-8.260869	468
▁WEEK	-8.264473	469
▁NUMBER	-8.276376	470
▁COURSE	-8.282358	471
▁OKAY	-8.292519	472
PRESS	-8.302481	473
▁SYSTEM	-8.316234	474
▁NINE	-8.329080	475
